# Logfile created on 2012-09-18 21:54:36 +0000 by logger.rb/31641
D, [2012-09-18T21:54:36.417296 #20607] DEBUG -- : Started (main)
D, [2012-09-18T21:54:36.420603 #20607] DEBUG -- : Subscribing to: udp_message_received
D, [2012-09-18T21:54:36.420726 #20607] DEBUG -- : Subscribing to: on_receive
D, [2012-09-18T21:54:36.420797 #20607] DEBUG -- : Subscribing to: initialise_structured_message
D, [2012-09-18T21:54:36.420865 #20607] DEBUG -- : Subscribing to: add_converted_values
D, [2012-09-18T21:54:36.420931 #20607] DEBUG -- : Subscribing to: handle_pulse_specific_calculations
D, [2012-09-18T21:54:36.420998 #20607] DEBUG -- : Subscribing to: after_received
D, [2012-09-18T21:54:36.421065 #20607] DEBUG -- : Binding to fanout queue: cache_reading
D, [2012-09-18T21:54:36.421148 #20607] DEBUG -- : Binding to fanout queue: summarisation
D, [2012-09-18T21:54:36.421218 #20607] DEBUG -- : Binding to fanout queue: handle_history
D, [2012-09-18T21:54:36.421286 #20607] DEBUG -- : Binding to fanout queue: calculate_outlier_threshold
D, [2012-09-18T21:54:36.422153 #20607] DEBUG -- : Binding to fanout queue: cache_sources
D, [2012-09-18T21:55:01.922750 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005301.921507,"packet":"bandwidth 1348005194 217067175 66944649"}
D, [2012-09-18T21:55:01.923693 #20607] DEBUG -- : Handle: on_receive: {"received":1348005301.921507,"packet":"bandwidth 1348005194 217067175 66944649","data_store":"30_camp_ground_road","source":"bandwidth","source_type":"mrtg"}
D, [2012-09-18T21:55:01.924659 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005301.921507,"packet":"bandwidth_in 217067175"}
D, [2012-09-18T21:55:01.924928 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005301.921507,"packet":"bandwidth_out 66944649"}
D, [2012-09-18T21:55:01.925189 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005301.921507,"packet":"bandwidth_total 284011824"}
D, [2012-09-18T21:55:01.925915 #20607] DEBUG -- : Handle: on_receive: {"received":1348005301.921507,"packet":"bandwidth_in 217067175","data_store":"30_camp_ground_road","source":"bandwidth_in","source_type":"pulse"}
D, [2012-09-18T21:55:01.926196 #20607] DEBUG -- : Handle: on_receive: {"received":1348005301.921507,"packet":"bandwidth_out 66944649","data_store":"30_camp_ground_road","source":"bandwidth_out","source_type":"pulse"}
D, [2012-09-18T21:55:01.926461 #20607] DEBUG -- : Handle: on_receive: {"received":1348005301.921507,"packet":"bandwidth_total 284011824","data_store":"30_camp_ground_road","source":"bandwidth_total","source_type":"pulse"}
D, [2012-09-18T21:55:01.927295 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005301.921507,"packet":"bandwidth_in 217067175","data_store":"30_camp_ground_road","source":"bandwidth_in","source_type":"pulse"}
D, [2012-09-18T21:55:01.952211 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005301.921507,"packet":"bandwidth_out 66944649","data_store":"30_camp_ground_road","source":"bandwidth_out","source_type":"pulse"}
D, [2012-09-18T21:55:01.971300 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005301.921507,"packet":"bandwidth_total 284011824","data_store":"30_camp_ground_road","source":"bandwidth_total","source_type":"pulse"}
D, [2012-09-18T21:55:02.014783 #20607] DEBUG -- : Handle: handle_pulse_specific_calculations: {"received":1348005301.921507,"packet":"bandwidth_in 217067175","data_store":"30_camp_ground_road","source":"bandwidth_in","source_type":"pulse","local_time":1348012501.921507,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129730,"float_value":217067175.0,"integer_value":217067175}
